user_id,fullname,abstracts,conflicts
54,Xuan Sun,"BACKGROUND
Endovascular treatment (EVT) is now considered the gold standard for select patient populations with anterior circulation stroke; however, data on the treatment of posterior circulation stroke are less clear. This study aims to determine the characteristics and treatment outcomes of patients with acute basilar artery occlusion (BAO) and to evaluate the effectiveness and safety of EVT for patients with acute BAO in a high-volume stroke center.


METHODS
This study included 187 consecutive patients with acute BAO who underwent EVT from January 2012 to July 2018 in the Beijing Tiantan Hospital. The baseline characteristics, procedure parameters, and functional outcome were assessed.


RESULTS
Among the 187 patients, 138 (73.8%) underwent mechanical thrombectomy with a stent retriever, 33 (17.6%) underwent direct intracranial angioplasty (balloon dilation and/or stent implantation) for underlying severe intracranial atherosclerotic disease, and 91 (48.7%) underwent combined mechanical thrombectomy and angioplasty. Successful recanalization [modified Thrombolysis in Cerebral Infarction (mTICI) grade 2b-3] was achieved in 158 patients (84.5%). Overall, the rates of functional independence [modified Rankin Scale (mRS) 0-2] and favorable outcome (mRS 0-3) at 90 days were 36.4 and 49.2%, respectively, and 90-day all-cause mortality was 20.3%.


CONCLUSION
EVT was effective and safe for treating patients with acute BAO.",Xu Tong;Feng Gao;Huiting Lao;Zhongrong Miao
55,Sebastian Proschinger,"BACKGROUND
The relevance of regular moderate to intense exercise for ameliorating psychomotor symptoms in persons with multiple sclerosis (pwMS) is becoming increasingly evident. Over the last two decades, emerging evidence from clinical studies and animal models indicate immune regulatory mechanisms in both periphery and the central nervous system that may underlie these beneficial effects. The integrity of the blood-brain barrier as the main structural interface between periphery and brain seems to play an important role in MS. Reducing the secretion of proteolytic matrix metalloproteinases (MMP), i.e. MMP-2, as disruptors of blood-brain barrier integrity could have profound implications for MS.


METHODS
In this two-armed randomized controlled trial 64 participants with relapsing-remitting MS (RRMS) (EDSS 0-4.0) will be allocated to either an intervention group or a passive wait list control group. The intervention group will perform 60 min of combined functional resistance and endurance exercises 3x per week over a period of 12 weeks in a community-based and publicly available setting. Changes in serum concentration of MMP-2 will be the primary outcome. Secondary outcomes are numbers of immune cell subsets, soluble (anti-) inflammatory factors, physical capacity, cognitive performance, physical activity behavior, gait performance, and patient-reported outcomes. All outcome measures will be assessed at baseline and after week 12 with an additional blood sampling before, during and immediately after a single training session in week 6.


DISCUSSION
To our knowledge, this will be the first RCT to investigate both the acute and chronic effects of a community-based intense functional resistance and endurance exercise regimen in persons with RRMS. Combining analysis of biological and cognitive or psychological outcomes may provide a better understanding of the MS-specific symptomology.


TRIAL REGISTRATION
DRKS00017091; 05th of April, 2019; International Clinical Trials Registry Platform.",Niklas Joisten;Annette Rademacher;Marit L Schlagheck;David Walzik;Alan J Metcalfe;Max Oberste;Clemens Warnke;Wilhelm Bloch;Alexander Schenk;Jens Bansi;Philipp Zimmer
56,Degang Song,"BACKGROUND
Ischemic stroke is a leading cause of disability worldwide and characteristically accompanied by downregulation of the Wnt/β-catenin signaling. Activation of Wnt/β-catenin signaling emerges to attenuate neuroinflammation after ischemic stroke; however, its effect on modulating microglial polarization is largely unknown. Here, we explored whether Wnt/β-catenin pathway activator TWS119 facilitated long-term neurological recovery via modulating microglia polarization after experimental stroke.


METHODS
Ischemic stroke mice model was induced by permanent distal middle cerebral artery occlusion plus 1 h hypoxia. TWS119 was administrated from day 1 to 14 after stroke. Neurological deficits were monitored up to 21 days after stroke. Angiogenesis, neural plasticity, microglial polarization, and microglia-associated inflammatory cytokines were detected in the peri-infarct cortex at days 14 and 21 after stroke. Primary microglia and mouse brain microvascular endothelial cell lines were employed to explore the underlying mechanism in vitro.


RESULTS
TWS119 mitigated neurological deficits at days 14 and 21 after experimental stroke, paralleled by acceleration on angiogenesis and neural plasticity in the peri-infarct cortex. Mechanistically, cerebral ischemia induced production of microglia-associated proinflammatory cytokines and priming of activated microglia toward pro-inflammatory polarization, whereas TWS119 ameliorated microglia-mediated neuroinflammatory status following ischemic stroke and promoted angiogenesis by modulating microglia to anti-inflammatory phenotype. The beneficial efficacy of TWS119 in microglial polarization was largely reversed by selective Wnt/β-catenin pathway blockade in vitro, suggesting that TWS119-enabled pro-inflammatory to anti-inflammatory phenotype switch of microglia was possibly mediated by Wnt/β-catenin signaling.


CONCLUSIONS
Wnt/β-catenin pathway activator TWS119 ameliorated neuroinflammatory microenvironment following chronic cerebral ischemia via modulating microglia towards anti-inflammatory phenotype, and facilitates neurological recovery in an anti-inflammatory phenotype polarization-dependent manner. Activation of Wnt/β-catenin pathway following ischemic stroke might be a potential restorative strategy targeting microglia-mediated neuroinflammation.",Xiangjian Zhang;Junmin Chen;Xiaoxia Liu;Jing Xue;Lan Zhang;Xifa Lan
57,Paola Pontecorvi,"BACKGROUND
Astrocytes contribute to the crosstalk that generates chronic neuro-inflammation in neurological diseases; however, compared with microglia, astrocytes respond to a more limited continuum of innate immune system stimulants. Recent studies suggest that the fibrinolysis system may regulate inflammation. The goal of this study was to test whether fibrinolysis system components activate astrocytes and if so, elucidate the responsible biochemical pathway.


METHODS
Primary cultures of astrocytes and microglia were prepared from neonatal mouse brains. The ability of purified fibrinolysis system proteins to elicit a pro-inflammatory response was determined by measuring expression of the mRNAs encoding tumor necrosis factor-α (TNF-α), interleukin-1β (IL-1β), and chemokine (C-C motif) ligand 2 (CCL2). IκBα phosphorylation also was measured. Plasminogen activation in association with cells was detected by chromogenic substrate hydrolysis. The activity of specific receptors was tested using neutralizing antibodies and reagents.


RESULTS
Astrocytes expressed pro-inflammatory cytokines when treated with plasminogen but not when treated with agonists for Toll-like Receptor-4 (TLR4), TLR2, or TLR9. Microglia also expressed pro-inflammatory cytokines in response to plasminogen; however, in these cells, the response was observed only when tissue-type plasminogen activator (tPA) was added to activate plasminogen. In astrocytes, endogenously produced urokinase-type plasminogen activator (uPA) converted plasminogen into plasmin in the absence of tPA. Plasminogen activation was dependent on the plasminogen receptor, α-enolase, and the uPA receptor, uPAR. Although uPAR is capable of directly activating cell-signaling, the receptor responsible for cytokine expression and IκBα phosphorylation response to plasmin was Protease-activated Receptor-1 (PAR-1). The pathway, by which plasminogen induced astrocyte activation, was blocked by inhibiting any one of the three receptors implicated in this pathway with reagents such as εACA, α-enolase-specific antibody, uPAR-specific antibody, the uPA amino terminal fragment, or a pharmacologic PAR-1 inhibitor.


CONCLUSIONS
Plasminogen may activate astrocytes for pro-inflammatory cytokine expression through the concerted action of at least three distinct fibrinolysis protease receptors. The pathway is dependent on uPA to activate plasminogen, which is expressed endogenously by astrocytes in culture but also may be provided by other cells in the astrocytic cell microenvironment in the CNS.",Michael A Banki;Carlotta Zampieri;Cristina Zalfa;Pardis Azmoon;Maria Z Kounnas;Cinzia Marchese;Steven L Gonias;Elisabetta Mantuano
58,Roberta Magliozzi,"BACKGROUND
Recent studies of cortical pathology in secondary progressive multiple sclerosis have shown that a more severe clinical course and the presence of extended subpial grey matter lesions with significant neuronal/glial loss and microglial activation are associated with meningeal inflammation, including the presence of lymphoid-like structures in the subarachnoid space in a proportion of cases.


METHODS
To investigate the molecular consequences of pro-inflammatory and cytotoxic molecules diffusing from the meninges into the underlying grey matter, we carried out gene expression profiling analysis of the motor cortex from 20 post-mortem multiple sclerosis brains with and without substantial meningeal inflammation and 10 non-neurological controls.


RESULTS
Gene expression profiling of grey matter lesions and normal appearing grey matter not only confirmed the substantial pathological cell changes, which were greatest in multiple sclerosis cases with increased meningeal inflammation, but also demonstrated the upregulation of multiple genes/pathways associated with the inflammatory response. In particular, genes involved in tumour necrosis factor (TNF) signalling were significantly deregulated in MS cases compared with controls. Increased meningeal inflammation was found to be associated with a shift in the balance of TNF signalling away from TNFR1/TNFR2 and NFkB-mediated anti-apoptotic pathways towards TNFR1- and RIPK3-mediated pro-apoptotic/pro-necroptotic signalling in the grey matter, which was confirmed by RT-PCR analysis. TNFR1 was found expressed preferentially on neurons and oligodendrocytes in MS cortical grey matter, whereas TNFR2 was predominantly expressed by astrocytes and microglia.


CONCLUSIONS
We suggest that the inflammatory milieu generated in the subarachnoid space of the multiple sclerosis meninges by infiltrating immune cells leads to increased demyelinating and neurodegenerative pathology in the underlying grey matter due to changes in the balance of TNF signalling.",Owain William Howell;Pascal Durrenberger;Eleonora Aricò;Rachel James;Carolina Cruciani;Cheryl Reeves;Federico Roncaroli;Richard Nicholas;Richard Reynolds
59,Andro Montoya,"BACKGROUND
Neuroinflammation constitutes a pathogenic process leading to neurodegeneration in several disorders, including Alzheimer's disease, Parkinson's disease (PD) and sepsis. Despite microglial cells being the central players in neuroinflammation, astrocytes play a key regulatory role in this process. Our previous results indicated that pharmacologic-antagonism or genetic deficiency of dopamine receptor D3 (DRD3) attenuated neuroinflammation and neurodegeneration in two mouse models of PD. Here, we studied how DRD3-signalling affects the dynamic of activation of microglia and astrocyte in the context of systemic inflammation.


METHODS
Neuroinflammation was induced by intraperitoneal administration of LPS. The effect of genetic DRD3-deficiency or pharmacologic DRD3-antagonism in the functional phenotype of astrocytes and microglia was determined by immunohistochemistry and flow cytometry at different time-points.


RESULTS
Our results show that DRD3 was expressed in astrocytes, but not in microglial cells. DRD3 deficiency resulted in unresponsiveness of astrocytes and in attenuated microglial activation upon systemic inflammation. Furthermore, similar alterations in the functional phenotypes of glial cells were observed by DRD3 antagonism and genetic deficiency of DRD3 upon LPS challenge. Mechanistic analyses show that DRD3 deficiency resulted in exacerbated expression of the anti-inflammatory protein Fizz1 in glial cells both in vitro and in vivo.


CONCLUSIONS
These results suggest that DRD3 signalling regulates the dynamic of the acquisition of pro-inflammatory and anti-inflammatory features by astrocytes and microglia, finally favouring microglial activation and promoting neuroinflammation.",Daniela Elgueta;Javier Campos;Ornella Chovar;Paulina Falcón;Soledad Matus;Iván Alfaro;María Rosa Bono;Rodrigo Pacheco
60,Grant S Shields,"Fueling the rapid growth in our understanding of how stress influences cognition, the number of studies examining the effects of stress on various cognitive processes has grown substantially over the last two decades. Despite this growth, few published guidelines exist for designing these studies, and divergent paradigm designs can diminish typical effects of stress or even reverse them. The goal of this review, therefore, is to survey necessary considerations (e.g., validating a stress induction), important considerations (e.g., specifying the timing of the stressor and cognitive task), and best practices (e.g., using Bayesian analyses) when designing a study that aims at least in part to examine the effects of acute stress on some cognitive process or function. These guidelines will also serve to help readers of these studies interpret what may otherwise be very confusing, anomalous results. Designing and interpreting studies with these considerations and practices in mind will help to move the field of stress and cognition forward by clarifying how, exactly, stress influences performance on a given cognitive task in a population of interest.",NA
61,Annegret Quade,"BACKGROUND
Paroxysmal tonic upgaze (PTU), defined as an involuntary upward movement of the eyes, has been considered as a benign phenomenon but may also be associated with ataxia and developmental delay.


METHODS
We report eight children with PTU; six of them also exhibiting symptoms of ataxia and/or developmental delay. Treatment with carbonic anhydrase inhibition was offered to children with persisting and/or severe forms.


RESULTS
Whole-exome sequencing and genome-wide array analysis (n = 7) did not reveal mutations in the three known genes associated with PTU (CACNA1A, GRID2, SEPSECS), whereas by MLPA a heterozygous deletion of exon 31 of the CACNA1A gene could be detected in one patient, her mother and two further family members. Further exome and array analysis showed no recurrent variants in potentially novel PTU-related genes in more than one patient. A de novo variant at a highly conserved position in the SIM1 gene was detected in one patient, for which a pathogenic effect could be speculated. Carbonic anhydrase inhibition was started in five children and proved at least partially effective in all of them.


CONCLUSION
Irrespective of the clinical background and the molecular basic mechanism of PTU, therapeutic carbonic anhydrase inhibition was effective in all five children (acetazolamide, n = 3; sultiame, n = 2) who received this treatment.",Anne Thiel;Ingo Kurth;Manuel Holtgrewe;Miriam Elbracht;Dieter Beule;Katja Eggermann;Ute I Scholl;Martin Häusler
62,Anup D Patel,"OBJECTIVE
To evaluate long-term safety and tolerability of adjunctive brivaracetam (BRV) in children with epilepsy.


METHODS
This was an interim analysis (cut-off March 15, 2017) of pooled data from two open-label, single-arm, multicentre trials. N01263 (NCT00422422) was a 3-week trial of BRV 0.8-4 mg/kg/day in patients (1 month-<16 years) with epilepsy. Patients who completed this trial could continue into a long-term follow-up trial (N01266, NCT01364597) which also directly enrolled patients (4-<17 years) with focal seizures. After dose-escalation, patients received BRV 1-5 mg/kg/day (maximum 200 mg/day) during long-term evaluation. Data are reported for patients aged 4 to <16 years with focal seizures.


RESULTS
The safety set comprised 149 patients: 34 from the initial trial (26 entered long-term trial) and 115 directly enrolled into the long-term trial. At the cut-off, 90 patients were receiving BRV (total exposure: 299.4 patient-years). Treatment-emergent adverse events (TEAEs) were reported by 140/149 (94.0%) patients, most commonly (≥20%) nasopharyngitis (24.8%), pharyngitis (22.1%), convulsion (21.5%), and pyrexia (20.1%). TEAEs considered drug-related by the investigator were reported by 56/149 (37.6%) patients, most commonly somnolence (6.0%). Two patients died; neither death was considered related to BRV. Mean changes from baseline in child behaviour rating scales were small; most patients remained in their baseline category.


CONCLUSION
In this pooled analysis of two open-label trials including long-term data, adjunctive BRV was generally well tolerated in children aged 4 to <16 years with focal seizures. These findings supported approval of BRV as a new therapy option for children aged ≥4 years with focal seizures.",Vincent Badalamenti;Teresa Gasalla;Sami Elmoufti;Jan-Peer Elshoff
63,Irene Rosas,"We analyzed the frequency of intermediate alleles (IAs) in the ATXN1, ATXN2, and HTT genes in several neurodegenerative diseases. The study included 1126 patients with Alzheimer's disease (AD), 440 patients with frontotemporal dementia (FTD), and 610 patients with Parkinson's disease. In all cohorts, we genotyped ATXN1 and ATXN2 CAG repeats. In addition, in the FTD cohort, we determined the number of HTT CAG repeats. The frequency of HTT IAs was higher in patients with FTD (6.9%) versus controls (2.9%) and in the C9orf72 expansion noncarriers (7.2%) versus controls (2.9%), although the difference was nonsignificant after correction for multiple testing. Compared with controls, progressive nonfluent aphasia (PNFA) groups showed a significantly higher frequency of HTT IAs (13.6% vs. 2.9% controls). For the ATXN2 gene, we observed an increase in IA frequency in AD cases (AD 4.1% vs. controls 1.8%) and in the behavioral FTD group (4.8% vs. 1.8%). For the ATXN1 gene, we found a significant increase of IAs in patients with PNFA (18.6%) versus controls (6.7%). In conclusion, our work suggests that the HTT and ATXN1 IAS may contribute to PNFA pathogenesis and point to a link between ATXN2 IAS and AD.",Carmen Martínez;Jordi Clarimón;Alberto Lleó;Ignacio Illán-Gala;Oriol Dols-Icardo;Barbara Borroni;Maria Rosário Almeida;Julie van der Zee;Christine Van Broeckhoven;Amalia C Bruni;Maria Anfossi;Livia Bernardi;Raffaele Maletta;María Serpente;Daniela Galimberti;Elio Scarpini;Giacomina Rossi;Paola Caroppo;Luisa Benussi;Roberta Ghidoni;Giuliano Binetti;Benedetta Nacmias;Sandro Sorbi;Irene Piaceri;Silvia Bagnoli;Anna Antonell;Raquel Sánchez-Valle;Beatriz De la Casa-Fages;Francisco Grandas;Mónica Diez-Fairen;Pau Pastor;Raffaele Ferrari;Victoria Álvarez;Manuel Menéndez-González
64,Katrina M Moore,"BACKGROUND
Frontotemporal dementia is a heterogenous neurodegenerative disorder, with about a third of cases being genetic. Most of this genetic component is accounted for by mutations in GRN, MAPT, and C9orf72. In this study, we aimed to complement previous phenotypic studies by doing an international study of age at symptom onset, age at death, and disease duration in individuals with mutations in GRN, MAPT, and C9orf72.


METHODS
In this international, retrospective cohort study, we collected data on age at symptom onset, age at death, and disease duration for patients with pathogenic mutations in the GRN and MAPT genes and pathological expansions in the C9orf72 gene through the Frontotemporal Dementia Prevention Initiative and from published papers. We used mixed effects models to explore differences in age at onset, age at death, and disease duration between genetic groups and individual mutations. We also assessed correlations between the age at onset and at death of each individual and the age at onset and at death of their parents and the mean age at onset and at death of their family members. Lastly, we used mixed effects models to investigate the extent to which variability in age at onset and at death could be accounted for by family membership and the specific mutation carried.


FINDINGS
Data were available from 3403 individuals from 1492 families: 1433 with C9orf72 expansions (755 families), 1179 with GRN mutations (483 families, 130 different mutations), and 791 with MAPT mutations (254 families, 67 different mutations). Mean age at symptom onset and at death was 49·5 years (SD 10·0; onset) and 58·5 years (11·3; death) in the MAPT group, 58·2 years (9·8; onset) and 65·3 years (10·9; death) in the C9orf72 group, and 61·3 years (8·8; onset) and 68·8 years (9·7; death) in the GRN group. Mean disease duration was 6·4 years (SD 4·9) in the C9orf72 group, 7·1 years (3·9) in the GRN group, and 9·3 years (6·4) in the MAPT group. Individual age at onset and at death was significantly correlated with both parental age at onset and at death and with mean family age at onset and at death in all three groups, with a stronger correlation observed in the MAPT group (r=0·45 between individual and parental age at onset, r=0·63 between individual and mean family age at onset, r=0·58 between individual and parental age at death, and r=0·69 between individual and mean family age at death) than in either the C9orf72 group (r=0·32 individual and parental age at onset, r=0·36 individual and mean family age at onset, r=0·38 individual and parental age at death, and r=0·40 individual and mean family age at death) or the GRN group (r=0·22 individual and parental age at onset, r=0·18 individual and mean family age at onset, r=0·22 individual and parental age at death, and r=0·32 individual and mean family age at death). Modelling showed that the variability in age at onset and at death in the MAPT group was explained partly by the specific mutation (48%, 95% CI 35-62, for age at onset; 61%, 47-73, for age at death), and even more by family membership (66%, 56-75, for age at onset; 74%, 65-82, for age at death). In the GRN group, only 2% (0-10) of the variability of age at onset and 9% (3-21) of that of age of death was explained by the specific mutation, whereas 14% (9-22) of the variability of age at onset and 20% (12-30) of that of age at death was explained by family membership. In the C9orf72 group, family membership explained 17% (11-26) of the variability of age at onset and 19% (12-29) of that of age at death.


INTERPRETATION
Our study showed that age at symptom onset and at death of people with genetic frontotemporal dementia is influenced by genetic group and, particularly for MAPT mutations, by the specific mutation carried and by family membership. Although estimation of age at onset will be an important factor in future pre-symptomatic therapeutic trials for all three genetic groups, our study suggests that data from other members of the family will be particularly helpful only for individuals with MAPT mutations. Further work in identifying both genetic and environmental factors that modify phenotype in all groups will be important to improve such estimates.


FUNDING
UK Medical Research Council, National Institute for Health Research, and Alzheimer's Society.",Jennifer Nicholas;Murray Grossman;Corey T McMillan;David J Irwin;Lauren Massimo;Vivianna M Van Deerlin;Jason D Warren;Nick C Fox;Martin N Rossor;Simon Mead;Martina Bocchetta;Bradley F Boeve;David S Knopman;Neill R Graff-Radford;Leah K Forsberg;Rosa Rademakers;Zbigniew K Wszolek;John C van Swieten;Lize C Jiskoot;Lieke H Meeter;Elise Gp Dopper;Janne M Papma;Julie S Snowden;Jennifer Saxon;Matthew Jones;Stuart Pickering-Brown;Isabelle Le Ber;Agnès Camuzat;Alexis Brice;Paola Caroppo;Roberta Ghidoni;Michela Pievani;Luisa Benussi;Giuliano Binetti;Bradford C Dickerson;Diane Lucente;Samantha Krivensky;Caroline Graff;Linn Öijerstedt;Marie Fallström;Håkan Thonberg;Nupur Ghoshal;John C Morris;Barbara Borroni;Alberto Benussi;Alessandro Padovani;Daniela Galimberti;Elio Scarpini;Giorgio G Fumagalli;Ian R Mackenzie;Ging-Yuek R Hsiung;Pheth Sengdy;Adam L Boxer;Howie Rosen;Joanne B Taylor;Matthis Synofzik;Carlo Wilke;Patricia Sulzer;John R Hodges;Glenda Halliday;John Kwok;Raquel Sanchez-Valle;Albert Lladó;Sergi Borrego-Ecija;Isabel Santana;Maria Rosário Almeida;Miguel Tábuas-Pereira;Fermin Moreno;Myriam Barandiaran;Begoña Indakoetxea;Johannes Levin;Adrian Danek;James B Rowe;Thomas E Cope;Markus Otto;Sarah Anderl-Straub;Alexandre de Mendonça;Carolina Maruta;Mario Masellis;Sandra E Black;Philippe Couratier;Geraldine Lautrette;Edward D Huey;Sandro Sorbi;Benedetta Nacmias;Robert Laforce;Marie-Pier L Tremblay;Rik Vandenberghe;Philip Van Damme;Emily J Rogalski;Sandra Weintraub;Alexander Gerhard;Chiadi U Onyike;Simon Ducharme;Sokratis G Papageorgiou;Adeline Su Lyn;Amy Brodtmann;Elizabeth Finger;Rita Guerreiro;Jose Bras;Jonathan D Rohrer;
65,Yonil Jung,"Innate behaviors involve both reflexive motor programs and enduring internal states, but how these responses are coordinated by the brain is not clear. In Drosophila, male-specific P1 interneurons promote courtship song, as well as a persistent internal state that prolongs courtship and enhances aggressiveness. However, P1 neurons themselves are not persistently active. Here, we identify pCd neurons as persistently active, indirect P1 targets that are required for P1-evoked persistent courtship and aggression. Acute activation of pCd neurons alone is inefficacious but enhances and prolongs courtship or aggression promoted by female cues. Brief female exposure induces a persistent increase in male aggressiveness, an effect abrogated by interruption of pCd activity. pCd activity is not sufficient but necessary for persistent physiological activity, implying an essential role in a persistence network. Thus, P1 neurons coordinate both command-like control of courtship song and a persistent internal state of social arousal mediated by pCd neurons.",Ann Kennedy;Hui Chiu;Farhan Mohammad;Adam Claridge-Chang;David J Anderson
66,Tingting Wang,"Epigenetic gene regulation shapes neuronal fate in the embryonic nervous system. Post-embryonically, epigenetic signaling within neurons has been associated with impaired learning, autism, ataxia, and schizophrenia. Epigenetic factors are also enriched in glial cells. However, little is known about epigenetic signaling in glia and nothing is known about the intersection of glial epigenetic signaling and presynaptic homeostatic plasticity. During a screen for genes involved in presynaptic homeostatic synaptic plasticity, we identified an essential role for the histone acetyltransferase and deubiquitinase SAGA complex in peripheral glia. We present evidence that the SAGA complex is necessary for homeostatic plasticity, demonstrating involvement of four new genes in homeostatic plasticity. This is also evidence that glia participate in presynaptic homeostatic plasticity, invoking previously unexplored intercellular, homeostatic signaling at a tripartite synapse. We show, mechanistically, SAGA signaling regulates the composition of and signaling from the extracellular matrix during homeostatic plasticity.",Danielle T Morency;Nathan Harris;Graeme W Davis
67,Susanne J van Veluw,"Paravascular drainage of solutes, including β-amyloid (Aβ), appears to be an important process in brain health and diseases such as Alzheimer's disease (AD) and cerebral amyloid angiopathy (CAA). However, the major driving force for clearance remains largely unknown. Here we used in vivo two-photon microscopy in awake head-fixed mice to assess the role of spontaneous vasomotion in paravascular clearance. Vasomotion correlated with paravascular clearance of fluorescent dextran from the interstitial fluid. Increasing the amplitude of vasomotion by means of visually evoked vascular responses resulted in increased clearance rates in the visual cortex of awake mice. Evoked vascular reactivity was impaired in mice with CAA, which corresponded to slower clearance rates. Our findings suggest that low-frequency arteriolar oscillations drive drainage of solutes. Targeting naturally occurring vasomotion in patients with CAA or AD may be a promising early therapeutic option for prevention of Aβ accumulation in the brain.",Steven S Hou;Maria Calvo-Rodriguez;Michal Arbel-Ornath;Austin C Snyder;Matthew P Frosch;Steven M Greenberg;Brian J Bacskai
68,Silvia Torretta,"Multiple schizophrenia (SCZ) risk loci may be involved in gene co-regulation mechanisms, and analysis of co-expressed gene networks may help to clarify SCZ molecular basis. We have previously identified a dopamine D2 receptor (DRD2) co-expression module enriched for SCZ risk genes and associated with cognitive and neuroimaging phenotypes of SCZ, as well as with response to treatment with antipsychotics. Here we aimed to identify regulatory factors modulating this co-expression module and their relevance to SCZ.We performed motif enrichment analysis to identify transcription factor (TF) binding sites in human promoters of genes co-expressed with DRD2. Then, we measured transcript levels of a group of these genes in primary mouse cortical neurons in basal conditions and upon overexpression and knockdown of predicted TFs. Finally, we analyzed expression levels of these TFs in dorsolateral prefrontal cortex (DLPFC) of SCZ patients.Our in silico analysis revealed enrichment for NURR1 and ERR1 binding sites. In neuronal cultures, the expression of genes either relevant to SCZ risk (Drd2, Gatad2a, Slc28a1, Cnr1) or indexing co-expression in our module (Btg4, Chit1, Osr1, Gpld1) was significantly modified by gain and loss of Nurr1 and Err1. Postmortem DLPFC expression data analysis showed decreased expression levels of NURR1 and ERR1 in patients with SCZ. For NURR1 such decreased expression is associated with treatment with antipsychotics.Our results show that NURR1 and ERR1 modulate the transcription of DRD2 co-expression partners and support the hypothesis that NURR1 is involved in the response to SCZ treatment.SIGNIFICANCE STATEMENTIn the present study, we provide in silico and experimental evidence for a role of the TFs NURR1 and ERR1 in modulating the expression pattern of genes co-expressed with DRD2 in human DLPFC. Notably, genetic variations in these genes is associated with SCZ risk and behavioral and neuroimaging phenotypes of the disease, as well as with response to treatment. Furthermore, this study presents novel findings on a possible interplay between D2 receptor-mediated dopamine signaling involved in treatment with antipsychotics and the transcriptional regulation mechanisms exerted by NURR1. Our results suggest that co-expression and co-regulation mechanisms may help to explain some of the complex biology of genetic associations with SCZ.",Antonio Rampino;Manuela Basso;Giulio Pergola;Pasquale Di Carlo;Joo H Shin;Joel E Kleinman;Thomas M Hyde;Daniel R Weinberger;Rita Masellis;Giuseppe Blasi;Maria Pennuto;Alessandro Bertolino
69,Konstantina Kilteni,"Since the early 1970s, numerous behavioral studies have shown that self-generated touch feels less intense than the same touch applied externally. Computational motor control theories have suggested that cerebellar internal models predict the somatosensory consequences of our movements and that these predictions attenuate the perception of the actual touch. Despite this influential theoretical framework, little is known about the neural basis of this predictive attenuation. This is due to the limited number of neuroimaging studies, the presence of conflicting results about the role and the location of cerebellar activity, and the lack of behavioral measures accompanying the neural findings. Here, we combined psychophysics with functional magnetic resonance imaging to detect the neural processes underlying somatosensory attenuation in male and female healthy human participants. Activity in bilateral secondary somatosensory areas was attenuated when the touch was presented during a self-generated movement (self-generated touch) than in the absence of movement (external touch). An additional attenuation effect was observed in the cerebellum that is ipsilateral to the passive limb receiving the touch. Importantly, we further found that the degree of functional connectivity between the ipsilateral cerebellum and the contralateral primary and bilateral secondary somatosensory areas was linearly and positively related to the degree of behaviorally assessed attenuation; that is, the more participants perceptually attenuated their self-generated touches, the stronger this corticocerebellar coupling. Collectively, these results suggest that the ipsilateral cerebellum is fundamental in predicting self-generated touch and that this structure implements somatosensory attenuation via its functional connectivity with somatosensory areas.SIGNIFICANCE STATEMENTWhen we touch our hand with the other, the resulting sensation feels less intense than when another person or a machine touches our hand with the same intensity. Early computational motor control theories have proposed that the cerebellum predicts and cancels the sensory consequences of our movements; however, the neural correlates of this cancelation remain unknown. By means of functional magnetic resonance imaging, we show that the more participants attenuate the perception of their self-generated touch, the stronger the functional connectivity between the cerebellum and the somatosensory cortical areas. This provides conclusive evidence about the role of the cerebellum in predicting the sensory feedback of our movements and in attenuating the associated percepts via its connections to early somatosensory areas.",H Henrik Ehrsson
70,Zachary A Abecassis,"Within the basal ganglia circuit, the external globus pallidus (GPe) is critically involved in motor control. Aside from Foxp2+ neurons and ChAT+ neurons that have been established as unique neuron types, there is little consensus on the classification of GPe neurons. Properties of the remaining neuron types are poorly-defined. In this study, we leverage new mouse lines, viral tools, and molecular markers to better define GPe neuron subtypes. We found that Sox6 represents a novel, defining marker for GPe neuron subtypes. Lhx6+ neurons that lack the expression of Sox6 were devoid of both parvalbumin and Npas1. This result confirms previous assertions of the existence of a unique Lhx6+ population. Neurons that arise from the Dbx1+ lineage were similarly abundant in the GPe and displayed a heterogeneous makeup. Importantly, tracing experiments revealed that Npas1+-Nkx2.1+ neurons represent the principal non-cholinergic, cortically-projecting neurons. In other words, they form the pallido-cortical arm of the cortico-pallido-cortical loop. Our data further described that pyramidal-tract neurons in the cortex collateralized within the GPe, forming a closed-loop system between the two brain structures. Overall, our findings reconcile some of the discrepancies that arose from differences in techniques or the reliance on pre-existing tools. While spatial distribution and electrophysiological properties of GPe neurons reaffirm the diversification of GPe subtypes, statistical analyses strongly support the notion that these neuron subtypes can be categorized under the two principal neuron classes-i.e., PV+ neurons and Npas1+ neurons.SIGNIFICANCE STATEMENTThe poor understanding of the neuronal composition in the GPe undermines our ability to interrogate its precise behavioral and disease involvements. In this study, twelve different genetic crosses were used, hundreds of neurons were electrophysiologically-characterized, and over 100,000 neurons were histologically- and/or anatomically-profiled. Our current study further establishes the segregation of GPe neuron classes and illustrates the complexity of GPe neurons in adult mice. Our results support the idea that Npas1+-Nkx2.1+ neurons are a distinct GPe neuron subclass. By providing a detailed analysis of the organization of the cortico-pallidal-cortical projection, our findings establish the cellular and circuit substrates that can be important for motor function and dysfunction.",Brianna L Berceau;Phyo H Win;Daniela Garcia;Harry S Xenias;Qiaoling Cui;Arin Pamukcu;Suraj Cherian;Vivian M Hernández;Uree Chon;Byung Kook Lim;Yongsoo Kim;Nicholas J Justice;Raj Awatramani;Bryan M Hooks;Charles R Gerfen;Simina M Boca;C Savio Chan
